id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
828372856525547623,Little Yellow House - Downtown Charming 2 BDRM,406871,Erin,,Bozeman,45.677804884636174,-111.04761477116395,Entire home/apt,284,2,50,2024-09-04,2.68,3,311,26,STR23-00164
831152233793916909,Spacious & Modern 2Unit Home -Perfect for Families,10533936,Taylor,,Bozeman,45.67552,-111.05104,Entire home/apt,404,1,35,2024-09-02,2.24,1,319,26,STR23-00187
836180476881926941,Cherry House,387840480,Nick,,Bozeman,45.6590918,-111.0167162,Entire home/apt,161,30,3,2024-03-02,0.18,1,312,1,
836412924149333068,Downtown Bozeman Getaway!,441798626,Renee,,Bozeman,45.6779863,-111.05773,Entire home/apt,275,3,8,2024-07-11,0.52,2,307,4,STR23-00233
841490489463124761,The Purple Palace - Historic Downtown BZN,388858579,Neil,,Bozeman,45.6811,-111.04155,Entire home/apt,236,2,32,2024-09-02,1.76,4,7,16,STR23-00038
843683310882492943,Movie Madness | Hot Springs | Shuffleboard,441896318,Payton,,Bozeman,45.67528,-111.11319,Entire home/apt,176,1,84,2024-09-03,4.68,11,327,61,STR23-00129
843741511466971913,Mountain Game Room | Incredible View | Hot Springs,441896318,Payton,,Bozeman,45.67502,-111.11232,Entire home/apt,176,1,76,2024-08-12,4.23,11,327,45,STR23-00130
843767329683138688,NEW | Fishing Shanty | Near Hot Springs,441896318,Payton,,Bozeman,45.6732,-111.11339,Entire home/apt,188,1,76,2024-09-02,4.24,11,307,54,STR23-00131
843789240315372626,Shuffleboard | Hot Springs | Mountain Views,441896318,Payton,,Bozeman,45.67333,-111.11243,Entire home/apt,183,1,65,2024-08-26,3.66,11,311,36,STR23-00132
850060899218507018,The Architect's Annex,505986694,Kristin,,Bozeman,45.6841905,-111.0253778,Entire home/apt,142,30,3,2024-08-11,0.19,1,190,2,
855046323928635372,Perfect Location! Walk to town AND mountain views.,507016369,Kerry,,Bozeman,45.66002,-111.03318,Entire home/apt,,1,21,2024-08-02,1.31,1,0,13,STR23-00036
858032290192543286,2 BR Centrally located bungalow with a yard and AC,37331595,Vacasa Montana,,Bozeman,45.68097,-111.04836,Entire home/apt,298,2,4,2024-07-16,0.26,3,365,2,STR23-00037
863690516487184569,Bright + Modern Central Condo,32162998,Sarah,,Bozeman,45.68781,-111.06765,Entire home/apt,184,2,24,2024-08-30,1.52,1,75,19,STR23-00225
866743704687717653,Hyalite View:Midtown Bozeman,87300632,Liz,,Bozeman,45.68727521208921,-111.0444826276775,Entire home/apt,263,2,33,2024-09-02,2.00,19,107,20,str23-00119
