id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5151226,Convenient to Everything! Private,4117051,Louise And Steve,,28805,35.60858,-82.48867,Entire home/apt,250,3,149,2024-06-16,1.37,3,279,25,
5261984,Mountain Home - Spectacular Views & Near Downtown,27238559,Greg,,28804,35.60365,-82.53535,Entire home/apt,180,27,17,2016-04-17,0.15,1,299,0,
5288006,Mtn.View in City | Private  Entrance| Sunset Suite,22115499,Lisa,,28806,35.57268,-82.62834,Private room,100,2,44,2023-10-22,0.48,1,364,2,
5333015,"Griffin's Lair  Biltmore Village, NC 28803",27580922,Robert,,28803,35.56461,-82.54574,Entire home/apt,236,2,111,2024-05-04,0.99,1,287,5,
5344892,Peaceful Mountainside Living,5912974,Daniel,,28805,35.62448,-82.49341,Entire home/apt,,30,193,2023-05-30,1.93,1,19,0,
5464591,Artsy/Zen Bungalow in W. Asheville!,28342264,Kristin,,28806,35.57546,-82.59551,Entire home/apt,199,1,291,2024-05-27,2.58,1,272,12,
5481195,"Asheville's Famous ""Pink House"" Studio Apartment.",28424329,Tim And Lori,,28804,35.61929540092205,-82.5500360779506,Entire home/apt,121,1,295,2024-06-14,2.64,1,329,94,
5506704,West Asheville walk-out apartment,28561358,Amber,,28806,35.56917,-82.60769,Entire home/apt,76,28,113,2024-05-13,1.00,1,215,5,
5696919,Hidden getaway close to downtown!,29536562,Jody,,28805,35.58418,-82.53714,Entire home/apt,127,1,530,2024-06-03,4.73,3,134,66,
5716399,The AshVilla- Prime Walkable West Asheville,2392127,David And Melissa,,28806,35.58445,-82.58051,Entire home/apt,92,2,247,2024-05-28,2.23,2,361,20,
5772947,Beautiful Mountain Home,29950328,Ellie,,28805,35.64401,-82.47636,Entire home/apt,140,3,111,2024-06-11,1.05,3,72,11,
5850649,Explore the Woods from a Quiet Apartment near Sierra Nevada,30377862,Daniel,,28704,35.44968,-82.5197,Entire home/apt,69,2,369,2024-06-14,3.74,1,176,35,
